question,answer
bagaimana bila saya tidak puas dengan putusan hakim pada sidang sederhana?,"Untuk sidang sederhana, anda bisa mengajukan keberatan dengan maksimal 7 hari setelah putusan ditetapkan"
Adakah blanko atau formulir untuk permohonan cerai talak?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_CERAI_TALAK_dan_CERAI_GUGAT.pdf
Adakah blanko atau formulir untuk permohonan cerai gugat?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_CERAI_TALAK_dan_CERAI_GUGAT.pdf
Bagaimana proses mengajukan poligami?,"Persyaratan Umum :
Membayar panjar biaya perkara yang telah ditetapkan

Persyaratan Ijin Poligami/Beristri Lebih Dari Seorang :
Surat Gugatan/Permohonan (Bila Ada)
Foto copy Surat Nikah dengan istri pertama yang dimateraikan Rp 6.000,- di Kantor Pos
Foto Copy KTP Pemohon, istri pertama dan calon istri kedua masing-masing 1 lembar folio 1 muka (tidak boleh dipotong)
Surat pernyataan berlaku adil dari Pemohon
Surat keterangan tidak keberatan dimadu dari istri pertama dan calon istri kedua bermaterai Rp.6.000,- (blanko disediakan di Kantor PA Giri Menang)
Surat keterangan gaji/penghasilan dari perusahaan/kantor/Kelurahan diketahui oleh Camat setempat
Surat Ijin Atasan (bagi PNS/TNI/POLRI)
Surat keterangan status calon istri kedua dari Kelurahan"
Adakah blanko atau formulir untuk permohonan poligami?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_IZIN_POLIGAMI.pdf
Bagaimana proses mengajukan ijin beristri lebih dari seorang?,"Persyaratan Umum :
Membayar panjar biaya perkara yang telah ditetapkan

Persyaratan Ijin Poligami/Beristri Lebih Dari Seorang :
Surat Gugatan/Permohonan (Bila Ada)
Foto copy Surat Nikah dengan istri pertama yang dimateraikan Rp 6.000,- di Kantor Pos
Foto Copy KTP Pemohon, istri pertama dan calon istri kedua masing-masing 1 lembar folio 1 muka (tidak boleh dipotong)
Surat pernyataan berlaku adil dari Pemohon
Surat keterangan tidak keberatan dimadu dari istri pertama dan calon istri kedua bermaterai Rp.6.000,- (blanko disediakan di Kantor PA Giri Menang)
Surat keterangan gaji/penghasilan dari perusahaan/kantor/Kelurahan diketahui oleh Camat setempat
Surat Ijin Atasan (bagi PNS/TNI/POLRI)
Surat keterangan status calon istri kedua dari Kelurahan"
Adakah blanko atau formulir untuk permohonan isbat nikah?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_ISBAT_NIKAH.pdf
Adakah blanko atau formulir untuk mengajukan perlawanan verzet?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_PERLAWANAN-VERZET.pdf
Adakah blanko atau formulir untuk permohonan putusan asal usul anak atau sah tidaknya anak?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_ASAL_USUL_ANAK.pdf
Adakah blanko atau formulir untuk permohonan dispensasi nikah?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_DISPENSASI_NIKAH.pdf
Adakah blanko atau formulir untuk permohonan nikah di bawah umur?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_DISPENSASI_NIKAH.pdf
Adakah blanko atau formulir untuk permohonan gugatan anak?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_GUGAT_ANAK.pdf
Adakah blanko atau formulir untuk permohonan penguasaan anak?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_GUGAT_ANAK.pdf
Adakah blanko atau formulir untuk permohonan pengangkatan anak?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_PENGANGKATAN_ANAK.pdf
Adakah blanko atau formulir untuk permohonan perwalian anak?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_PERWALIAN_WALI_URUS.pdf
Adakah blanko atau formulir untuk permohonan wali adhol?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_WALI_ADHOL.pdf
Adakah blanko atau formulir untuk permohonan wali adhal?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_WALI_ADHOL.pdf
Adakah blanko atau formulir untuk permohonan wali nikah?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_WALI_ADHOL.pdf
Bagaimana contoh surat gugatan cerai gugat?,Lihat contoh gugatan cerai gugat pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_PERWALIAN_WALI_URUS.pdf
Bagaimana contoh surat gugatan cerai talak?,Lihat contoh gugatan cerai talak pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_GUGATAN_CERAI_TALAK.pdf
Bagaimana contoh surat gugatan cerai gugat?,Lihat contoh gugatan cerai gugat pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_PERWALIAN_WALI_URUS.pdf
Bagaimana contoh surat gugatan cerai talak?,Lihat contoh gugatan cerai talak pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_GUGATAN_CERAI_TALAK.pdf
Adakah blanko atau formulir untuk permohonan isbath nikah voluntair?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_PERMOHONAN_ISBATH_NIKAH_VOLUNTAIR.pdf
Adakah blanko atau formulir untuk permohonan isbat nikah voluntair?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_PERMOHONAN_ISBATH_NIKAH_VOLUNTAIR.pdf
Adakah blanko atau formulir untuk permohonan isbath nikah volunter?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_PERMOHONAN_ISBATH_NIKAH_VOLUNTAIR.pdf
Adakah blanko atau formulir untuk permohonan isbat nikah volunter?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_PERMOHONAN_ISBATH_NIKAH_VOLUNTAIR.pdf
Bagaimana contoh surat keterangan ghoib?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_KETERANGAN_GHOIB.pdf
Bagaimana contoh surat keterangan ghaib?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/CONTOH_SURAT_KETERANGAN_GHOIB.pdf
Apa saja syarat permohonan penetapan ahli waris?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/PERSYARATAN_PERMOHONAN_PENETAPAN_AHLI_WARIS.pdf
Apa saja syarat gugatan waris?,Silahkan unduh pada tautan berikut: https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/PERSYARATAN_PERMOHONAN_PENETAPAN_AHLI_WARIS.pdf
Bisakah mengajukan layanan pengadilan agama secara online?,"Bisa, registrasi melalui sistem e-Court di https://ecourt.mahkamahagung.go.id/. Anda bisa mendaftarkan perkara melalui advokat atau perorangan. Untuk advokat dapat daftar melalui e-Court, sedangkan daftar perorangan dapat unduh form pendaftaran berikut: https://drive.google.com/file/d/1LKKxLcljmSG0CJsF8x43o98TqrPdjB32/view?usp=sharing"
Bagaimana cara mengambil menelusuri perkara di pengadilan agama bandung?,Silahkan telusuri perkara pada laman: http://sipp.pa-bandung.go.id
Bagaimana cara mengajukan izin menikah di bawah usia 21 tahun?,"Persyaratan yang disiapakan untuk mengajukan dispensasi kawin, yaitu :

Surat penolakan dari Kantor Urusan Agama (KUA). Surat ini menjelaskan bahwa tidak dapat dilangsungkannya perkawinan bagi anak yang belum mencapai batas minimal usia pernikahan, yaitu pria 19 tahun dan wanita 16 tahun;
Fotocopy Kartu Tanda Penduduk (KTP) yang mengajukan permohonan (Kedua Orang Tua);
Fotocopy Akta Nikah Pemohon;
Fotocopy Kartu Keluarga (KK);
Akta Kelahiran anak.

Apabila persyaratan dokumen di atas telah dilengkapi, hal yang harus dilakukan adalah mendatangi Pengadilan Agama / Negeri untuk mendaftarkan sesuai dengan tempat Pemohon. Misalkan domisili anda berada di Kota Yogyakarta, maka permohonan harus diajukan dan daftarkan di Pengadilan Agama / Pengadilan Negeri Yogyakarta. Kemudian,  membuat Surat Permohonan Dispensasi Nikah. Surat Permohonan tersebut dapat di buat dengan cara :

1. Sendiri
Setelah mendapat Surat Permohonan Dispensasi  Nikah, anda dapat mendaftarkan permohonan dispensasi anda ke pengadilan, setelah itu bayarlah panjar biaya perkara sesuai dengan yang tertera pada saat pendaftaran. Setalah anda melewati tahap ini, anda tinggal menunggu surat panggilan sidang dari pengadilan, biasanya surat panggilan tersebut sekurang-kurangnya 3 minggu setelah pendaftaran akan sampai pada alamat yang dituju. Datanglah pada persidangan sesuai dengan tanggal yang ditetapkan pada surat panggilan. Setelah itu ikuti semua intruksi dari hakim sampai persidangan selesai.

2. Diwakilkan oleh kuasa hukum / pengacara / advokat / Lembaga Bantuan Hukum (LBH)

Surat dispensasi nikah dapat diunduh pada tautan berikut: 
https://www.pa-bandung.go.id/images/File_Upload/POSBAKUM/BLANKO_DISPENSASI_NIKAH.pdf"
Bagaimana cara menelusuri perkara pengadilan agama?,Silahkan akses Sistem Informasi Penelusuran Perkara (SIPP) sesuai dengan Pengadilan Agama yang dituju.
Apa syarat pengajuan pencegahan perkawinan?,"Pencegahan perkawinan itu dapat dilakukan apabila calon suami atau calon istri yang akan melangsungkan pernikahan berdasarkan hukum islam yang termuat dalam pasal 13 Undang-undang Nomor 1 tahun 1974, yaitu perkawinan dapat dicegah apabila ada pihak yang tidak memenuhi syarat-syarat melangsungkan perkawinan. Syarat pencegahan perkawianan dibagi dalam dua segi, yaitu:
1.      Syarat Materiil: berkaitan dengan pencatatan perkawinan, akta nikah, dan larangan perkawinan. Diantaranya yaitu tentang larangan adanya atau dilakukannya suatu perkawinan.
2.      Syarat administratif: syarat perkawinan yang melekat pada setiap rukun perkawinan (calon mempelai laki-laki dan wanita, saksi dan wali) dan pelaksanaan akad nikahnya.

Adapun mekanisme yang ditempuh bagi pihak-pihak yang akan melakukan pencegahan adalah dengan cara mengajukan pencegahan perkawinan ke pengadilan agama dalam daerah hukum dimana perkawinan itu dilangsungkan dan memberitahukannya kepada pegawai pencatat nikah. Pencegahan perkawinan dapat dicabut dengan menarik kembali permohonan pencegahan yang telah dimasukkan ke pengadilan agama oleh yang mencegah atau dengan putusan pengadilan agama, selama pencegahan belum dicabut maka perkawinan tidak dapat dilangsungkan, kecuali ada putusan pengadilan agama yang memberikan dispensasi kepada para pihak yang akan melangsungkan perkawinan."
Bagaimana cara mengajukan gugatan cerai talak?,"1        Langkah yang harus dilakukan Pemohon (suami/kuasanya) :
         -        Mengajukan permohonan secara tertulis atau lisan kepada Pengadilan Agama/Mahkamah Syariah (pasal 118 HIR 142 Rbg jo pasal 66 UU nomor 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Pemohon dianjurkan untuk meminta petunjuk kepada Pengadilan Agama/Mahkamah Syariah tentang tata cara membuat surat permohonan (pasal 119 HIR 143 Rbg jo pasal 58 UU nomor 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
2        Surat permohonan dapat dirubah sepanjang tidak mengubah posita dan petitum. Jika Termohon telah menjawab surat permohonan tersebut harus atas persetujuan Termohon.
3        Permohonan tersebut diajukan kepada Pengadilan Agama/Mahkamah Syariah:
         -        Yang daerah hukumnya meliputi tempat kediaman Termohon (pasal 66 ayat (2) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Bila Termohon meninggalkan tempat kediaman yang telah disepakati bersama tanpa izin Pemohon, maka permohonan harus diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat kediaman Pemohon (pasal 66 ayat (2) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Bila Termohon berkediaman di luar negeri, maka permohonan diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat kediaman Pemohon (pasal 66 ayat (3) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Bila Pemohon dan Termohon bertempat kediaman di luar negeri, maka permohonan diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat dilangsungkan pernikahan atau kepada Pengadilan Agama (pasal 66 ayat (4) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
4        Permohonan tersebut memuat :
         -
-
-        Nama, umur, pekerjaan, agama, dan tempat kediaman Pemohon dan Termohon.
Posita (fakta kejadian dan fakta hukum).
Petitum (hal-hal yang dituntut berdasarkan posita).
5        Permohonan soal penguasaan anak, nafkah anak, nafkah istri dan harta bersama, dapat diajukan bersama-sama dengan permohonan cerai talak atau sesudah ikrar talak diucapkan (pasal 66 ayat (5) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
6        Membayar biaya perkara (pasal 121 ayat (4) HIR, 145 ayat (4) Rbg jo pasal 89 UU no 7 tahun 1989). Bagi yang tidak mampu, dapat berperkara secara cuma-cuma/prodeo (pasal 237 HIR, 273 Rbg).

Silahkan akses Sistem Gugatan/ Permohonan Mandiri pada tautan berikut: http://gugatanmandiri.badilag.net/gugatan/"
Bagaimana cara mengajukan gugatan cerai gugat?,"
1        Langkah yang harus dilakukan Penggugat (istri/kuasanya) :
         -        Mengajukan gugatan secara tertulis atau lisan kepada Pengadilan Agama/Mahkamah Syariah (pasal 118 HIR 142 Rbg jo pasal 73 UU nomor 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Penggugat dianjurkan untuk meminta petunjuk kepada Pengadilan Agama/Mahkamah  Syariah tentang tata cara membuat surat gugatan (pasal 118 HIR 142 Rbg jo pasal 58 UU nomor 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Surat gugatan dapat dirubah sepanjang tidak mengubah posita dan petitum. Jika Tergugat telah menjawab surat gugatan tersebut harus atas persetujuan Tergugat.
2        Gugatan tersebut diajukan kepada Pengadilan Agama/Mahkamah Syariah :
         -        Yang daerah hukumnya meliputi tempat kediaman Penggugat (pasal 73 ayat (1) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Bila Penggugat meninggalkan tempat kediaman yang telah disepakati bersama tanpa izin Tergugat, maka gugatan harus diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat kediaman Tergugat (pasal 32 ayat (2) UU no 1 tahun 1974 jo pasal 73 ayat (1) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Bila Penggugat berkediaman di luar negeri, maka gugatan diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat kediaman Tergugat (pasal 73 ayat (2) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
         -        Bila Penggugat dan Tergugat bertempat kediaman di luar negeri, maka gugatan diajukan kepada Pengadilan Agama/Mahkamah Syariah yang daerah hukumnya meliputi tempat dilangsungkan pernikahan atau kepada Pengadilan Agama (pasal 73 ayat (3) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
3        Gugatan tersebut memuat :
         -
-
-        Nama, umur, pekerjaan, agama, dan tempat kediaman Penggugat dan Tergugat.
Posita (fakta kejadian dan fakta hukum).
Petitum (hal-hal yang dituntut berdasarkan posita).
4        Gugatan soal penguasaan anak, nafkah anak, nafkah istri dan harta bersama, dapat diajukan bersama-sama dengan gugatan atau sesudah putusan perceraian memperoleh kekuatan hukum tetap (pasal 66 ayat (5) UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006).
5        Membayar biaya perkara (pasal 121 ayat (4) HIR, 145 ayat (4) Rbg jo pasal 89 UU no 7 tahun 1989 yang telah diubah oleh Undang-Undang Nomor 3 Tahun 2006. Bagi yang tidak mampu, dapat berperkara secara cuma-cuma/prodeo (pasal 237 HIR, 273 Rbg).
6        Penggugat dan Tergugat atau kuasanya menghadiri persidangan berdasarkan panggilan Pengadilan Agama/Mahkamah Syariah.

Silahkan akses Sistem Gugatan/ Permohonan Mandiri pada tautan berikut: http://gugatanmandiri.badilag.net/gugatan/"
Bagaimana cara mengajukan permohonan dispensasi nikah?,Dispensasi nikah berlaku untuk perkawinan yang calon mempelai laki- laki ataupun perempuannya masih di bawah umur dan belum diperbolehkan untuk menikah sesuai dengan peraturan perundang-undangan yang berlaku. Untuk mengajukan permohonan dispensasi nikah silahkan akses tautan berikut: http://gugatanmandiri.badilag.net/gugatan/mulai
Bagaimana cara mengajukan permohonan isbat nikah?,Isbat nikah adalah permohonan pengesahan nikah yang diajukan kepengadilan untuk dinyatakan sah-nya pernikahan dan memiliki kekuatan hukum. Untuk mengajukan permohonan dispensasi nikah silahkan akses tautan berikut: http://gugatanmandiri.badilag.net/gugatan/mulai
Bagaimana cara mengajukan permohonan perceraian?,"Rasulullah SAW Bersabda : ""Sesuatu yang halal namun paling dibenci oleh Allah adalah perceraian."" Apakah anda sudah yakin untuk melakukan perceraian?Bila sudah yakin, untuk mengajukan permohonan dispensasi nikah silahkan akses tautan berikut: http://gugatanmandiri.badilag.net/gugatan/mulai"
Apa penyebab penolakan pelaksanaan perkawinan oleh pegawai pencatatat nikah (PPN) di kantor urusan agama (KUA)?,"Berdasarkan pasal 20 dan 21 undang-undang perkawinan jo. pasal 68 dan 69 KHI tersebut, alasan-alasan yang dapat membuat ditolaknya pelaksanaan perkawinan menurut undang-undang perkawinan yaitu : 1. (Pasal 3) Seorang suami yang akan beristri lebih dari seorang (kecuali pengadilan telah memberi izin); 2. (Pasal 7) Perkawinan yang dilakukan oleh calon pengantin yang belum cukup umur, untuk pria minimal 19 tahun dan wanita minimal 16 tahun, (kecuali Pengadilan telah memberikan dispensasi kawin). 3. (Pasal 8) Perkawinan antara dua orang yang : - Berhubungan darah dalam garis keturunan lurus ke bawah maupun ke atas; - Berhubungan darah dalam garis keturunan menyamping yaitu antara saudara, antara seorang dengan saudara orang tua, atau antara seorang dengan saudara neneknya; - Berhubungan semenda, yaitu mertua, anak tiri, menantu dan ibu/bapak tiri; - Berhubungan susuan, yaitu orang tua susuan, anak susuan, dan bibi/paman susuan; - Berhubungan saudara dengan istri atau sebagai bibi atau kemenakan dari istri, dalam hal seorang suami beristri lebih dari seorang; - Mempunyai hubungan yang oleh agamanya atau peraturan lain yang berlaku , dilarang kawin. 4. (Pasal 9) Seorang yang masih terikat tali perkawinan dengan orang lain tidak dapat kawin lagi, kecuali dalam hal yang tersebut pada Pasal 3 ayat (2) dan pasal 4 undang-undang perkawinan; 5. (Pasal 10) Apabila suami dan istri yang telah cerai kawin lagi satu dengan yang lain dan bercerai lagi untuk kedua kalinya, maka diantara mereka tidak boleh dilangsungkan perkawinan lagi, sepanjang masing-masing hukum agamanya dan kepercayaannya itu dari yang bersangkutan tidak menentukan lain; 6. (Pasal 12) Apabila tata cara pelaksanaan perkawinan tidak dilaksanakan menurut undang-undang yang berlaku. Sedangkan didalam PMA No. 11 Tahun 2007 tentang Pencatatan Nikah, PPN harus menolak pelaksanaan perkawinan apabila dari hasil pemeriksaan terhadap syarat- syarat perkawinan di dalam pasal 5 ayat (2) dari peraturan tersebut tidak terpenuhi, kemudian PPN memberitahukan penolakan tersebut kepada calon suami dan wali nikah disertai alasan penolakannya. Disamping itu PPN juga dilarang membantu melaksanakan dan mencatat perkawinan"
Bagaimana cara mengajukan permohonan pencabutan penolakan perkawinan oleh pegawai pencatatat nikah (PPN) di kantor urusan agama (KUA)?,"Lengkapi persyaratan berupa surat permohonan, fotocopy KTP dan KK. Selanjutnya:
1. Menyerahkan Surat Permohonan dan persyaratan lainnya 
2. Mengisi Slip Setor Bank sesuai SKUM
3. Membayar biaya perkara
4. Menerima bukti setor bank untuk mendapat nomor perkara 
5. Didaftarkan dalam buku register perkara
6. Menunggu jadwal sidang yang disampaikan oleh jurusita
7. Proses persidangan di PA Kraksaan
8. Setelah putusan berkekuatan hukum tetap mendapat produk pengadilan berupa Putusan"
Apa saja yang termasuk layanan permohonan?,"1. Pemohon yang tidak dapat membaca dan menulis berhak mendapatkan bantuan hukum dari Advokat Piket pada Pos Bantuan Hukum (Posbakum) yang ada di Pengadilan Agama setempat yang akan membantu Pemohon untuk menyusun Surat Permohonannya.
2. Pemohon menyampaikan permohonan kepada Ketua Pengadilan Agama di tempat tinggal Pemohon. Pengadilan mendaftarkan permohonan dalam buku register dan memberi nomor urut setelah pemohon membayar panjar biaya perkara yang besarnya sudah ditentukan dalam SKUM. Khusus untuk permohonan pengangkatan/adopsi anak, Surat Permohonan diajukan kepada Ketua Pengadilan Agama yang daerah hukumnya meliputi tempat tinggal anak yang hendak diangkat.
3. Jenis-jenis permohonan yang dapat diajukan melalui Pengadilan Agama, yaitu:
a. Permohonan pengangkatan wali bagi anak yang belum berumur 18 tahun atau belum pernah melangsungkan perkawinan yang tidak berada di bawah kekuasaan orang tua.
b. Permohonan pengangkatan wali/pengampu bagi orang dewasa yang kurang ingatannya atau orang dewasa yang tidak bisa mengurus hartanya lagi, misalnya karena pikun.
c. Permohonan dispensasi kawin bagi pria yang belum mencapai umur 19 (sembilan belas) tahun dan bagi wanita yang belum mencapai umur 16 (enam belas) tahun.
d. Permohonan izin kawin bagi calon mempelai yang belum berusia 21 (dua puluh satu) tahun. e. Permohonan pengangkatan anak
f. Permohonan untuk menunjuk seorang atau beberapa orang wasit (arbiter) oleh karena para pihak tidak bisa atau tidak bersedia untuk menunjuk wasit (arbiter).
g. Permohonan sita atas harta besama tanpa adanya gugatan cerai dalam hal salah satu dari suami isteri
h. Melakukan perbuatan yang merugikan dan membahayakan harta bersama seperti judi, mabuk, boros dan sebagainya.
i. Permohonan izin untuk menjual harta bersama yang berada dalam status sita untuk kepentingan keluarga.
j. Permohonan agar seseorang dinyatakan dalam keadaan mafqud. k. Permohonan penetapan ahli waris.
l. Permohonan penetapan wali adhal, apabila wali nikah calon mempelai wanita yang akan melangsungkan perkawinan tidak mau menjadi wali dalam perkawinan tersebut.
m. Permohonan pencabutan surat penolakan perkawinan dari Pegawai Pencatat Nikah.
n. Permohonan pencegahan perkawinan, apabila calon mempelai atau salah satu calon mempelai tidak memenuhi syarat-syarat perkawinan.
o. Permohonan pembatalan perkawinan, apabila perkawinan telah dilangsungkan, sedangkan calon mempelai atau salah satu calon mempelai tidak memenuhi syarat-syarat perkawinan.
p. Permohonan itsbat kesaksian rukyat hilal."
Apa saja yang termasuk layanan gugatan?,"1. Para Pihak dapat mengajukan gugatan dengan menyerahkan surat gugatan kepada Petugas Meja Pertama sebanyak jumlah pihak, ditambah 4 (empat) rangkap untuk Majelis Hakim dan arsip. Dokumen yang perlu diserahkan adalah:
a. Surat gugatan atau surat permohonan yang ditujukan kepada Ketua Pengadilan Agama atau Mahkamah Syar'iyah yang berwenang.
b. Surat Kuasa Khusus (dalam hal Penggugat atau Pemohon menguasakan kepada pihak lain).
c. Fotokopi Kartu Anggota Advokat bagi yang menggunakan jasa advokat.
d. Bagi pihak yang menggunakan perwakilan selain advokat (Kuasa Insidentil), harus ada surat keterangan tentang hubungan keluarga dari Kepala Desa/ Lurah dan/atau surat izin khusus dari atasan bagi PNS dan Anggota TNI/Polri.
e. Salinan putusan (untuk permohonan eksekusi).
f. Salinan surat-surat yang dibuat di luar negeri yang disahkan oleh Kedutaan atau perwakilan Indonesia di negara tersebut, dan telah diterjemahkan ke dalam bahasa Indonesia oleh penerjemah yang disumpah.
2. Penggugat yang tidak dapat membaca dan menulis, dapat mengajukan gugatannya secara lisan di hadapan Ketua Pengadilan Agama dan wajib dicatat oleh Pengadilan.
3. Petugas Meja Pertama menaksir panjar biaya perkara yang kemudian ditulis dalam Surat Kuasa Untuk Membayar (SKUM). Pihak pemohon atau penggugat tidak akan diminta untuk membayar apapun yang tidak tertera dalam SKUM.
4. Penaksiran panjar biaya perkara mempertimbangkan:
a. Jumlah pihak yang berperkara.
b. Jarak tempat tinggal dan kondisi daerah para pihak (radius).
c. Untuk perkara cerai talak harus diperhitungkan juga biaya pemanggilan para pihak untuk sidang ikrar talak.
d. Biaya pemanggilan para pihak untuk menghadiri proses mediasi lebih dahulu dibebankan kepada pihak Penggugat melalui uang panjar biaya perkara.
5. Bagi masyarakat yang tidak mampu dapat mengajukan permohonan berperkara secara prodeo (cuma-cuma) kepada Ketua Pengadilan. (Lihat bagian II.B tentang biaya perkara)
6. Penggugat menerima Surat Kuasa Untuk Membayar (SKUM) dalam rangkap 4 (empat) dari Petugas Meja Pertama yang berisi informasi mengenai rincian panjar biaya perkara yang harus dibayar.
7. Penggugat melakukan pembayaran panjar biaya perkara melalui bank yang ditunjuk oleh Pengadilan.
8. Penggugat menyerahkan bukti pembayaran berikut SKUM kepada Pemegang Kas untuk diberi tanda lunas serta surat gugatan atau permohonan.
9. Berkas yang telah memiliki tanda lunas diserahkan kepada petugas Meja Kedua untuk diberikan nomor register.
10. Lamanya proses pendaftaran perkara, dalam hal berkas-berkas telah terpenuhi, adalah paling lama 1 (satu) hari."
